Src Port,Dst Port,Flow IAT Min,FWD Init Win Bytes,Fwd IAT Min,Flow Duration,Flow Bytes/s,Fwd IAT Total,Bwd Init Win Bytes,Fwd IAT Mean,Bwd Packets/s,Packet Length Std,Fwd Packets/s,Total Length of Fwd Packet,Bwd Bulk Rate Avg
1900,1900,0.0,0,0.0,0.6814744472503662,7778.721596075445,0.6814744472503662,0,0.06814744472503662,0.0,22.34479805234319,14.674064508725607,530.1,0
1900,1900,0.0,0,0.0,1.847299337387085,5627.133507611832,1.1658248901367188,0,0.11658248901367188,0.0,26.64657576500215,5.4133078476304295,509.4,0
1900,1900,0.0,0,0.0,2.4806697368621826,6307.973918282758,0.6333703994750977,0,0.06333703994750976,0.0,26.765836433782525,4.031169426305444,525.3,0
1900,1900,0.0024602413177490234,0,0.0024602413177490234,3.3003182411193848,6367.870752025387,0.8196485042572021,0,0.08196485042572021,0.0,18.850994668717085,3.0300108260493848,536.8,0
1900,1900,0.0,0,0.0,4.108103513717651,6378.612396815323,0.8077852725982666,0,0.08077852725982666,0.0,26.86186888509435,2.434213248670174,518.8,0
1900,1900,0.0,0,0.0,5.355402231216431,5854.088758684874,1.2472987174987793,0,0.12472987174987793,0.0,27.69494538720017,1.867273375230415,514.7,0
1900,1900,0.0,0,0.0,5.890340089797974,6216.618979848398,0.534937858581543,0,0.0534937858581543,0.0,27.62625562757284,1.697694844024359,526.7,0
1900,1900,0.0,0,0.0,6.454738140106201,6509.946505639133,0.5643980503082275,0,0.05643980503082276,0.0,4.770744176750625,1.5492495253781848,540.2,0
1900,1900,0.0,0,0.0,7.8013341426849365,6039.223437721522,1.3465960025787354,0,0.13465960025787355,0.0,26.64657576500215,1.2818320324577666,509.4,0
1900,1900,0.007617473602294922,0,0.007617473602294922,8.471332788467407,6176.123793793902,0.6699986457824707,0,0.06699986457824707,0.0,28.21063629200873,1.180451795449905,520.6,0
